scan_id,quality,angle_deg,distance_mm,x_mm,y_mm
0,15,267.9,261.5,-9.4,-261.3
0,15,269.8,258.8,-1.1,-258.7
0,15,271.2,256.0,5.4,-255.9
0,15,272.2,253.8,9.9,-253.6
0,15,274.3,251.8,18.9,-251.0
0,15,275.4,249.8,23.6,-248.6
0,15,277.9,248.2,34.1,-245.9
0,15,279.1,246.8,39.1,-243.6
0,15,280.7,245.5,45.7,-241.2
0,15,280.8,244.5,45.9,-240.2
0,15,282.2,243.8,51.5,-238.3
0,15,283.8,242.8,57.7,-235.8
0,15,286.6,243.0,69.5,-232.8
0,15,291.5,2112.2,772.5,-1965.9
0,15,293.0,2084.8,813.0,-1919.7
0,10,294.4,2067.8,854.9,-1882.7
0,15,295.9,2050.8,896.0,-1844.7
0,15,304.9,391.0,223.8,-320.6
0,15,315.5,1433.0,1022.9,-1003.6
0,15,321.2,2028.8,1580.1,-1272.4
0,15,322.7,2042.2,1623.9,-1238.4
0,15,325.7,2065.0,1705.3,-1164.5
0,15,327.1,2077.5,1744.5,-1128.2
0,15,328.6,2096.0,1788.9,-1092.2
0,15,330.1,2116.8,1835.2,-1054.9
0,15,331.5,2136.0,1878.0,-1017.7
0,15,336.6,535.5,491.3,-213.0
0,15,339.7,489.8,459.2,-170.1
0,15,341.1,496.5,469.6,-161.1
0,15,342.5,508.2,484.8,-152.6
0,15,344.0,522.5,502.2,-144.3
1,15,350.6,2734.0,2697.6,-444.6
1,15,352.1,2744.8,2719.0,-375.3
1,15,353.6,2814.8,2797.1,-314.8
1,15,355.0,2893.2,2882.4,-250.6
1,15,356.5,2976.0,2970.5,-180.9
1,15,358.0,3057.8,3055.9,-106.7
1,15,2.4,3365.5,3362.6,139.5
1,15,18.5,5290.5,5017.6,1677.3
1,15,20.0,5226.5,4912.3,1784.9
1,15,21.5,5164.2,4806.5,1888.8
1,15,22.9,5108.2,4704.3,1990.8
1,15,24.4,5066.5,4613.2,2094.8
1,15,25.9,5037.5,4531.9,2199.6
1,15,65.8,5850.8,2395.7,5337.8
1,15,68.8,4997.5,1804.9,4660.2
1,15,70.3,5092.8,1717.0,4794.6
1,15,71.8,5207.0,1627.9,4946.0
1,15,73.2,5314.0,1531.5,5088.5
1,15,74.7,5438.0,1434.7,5245.3
1,15,78.2,1886.0,385.6,1846.2
1,15,79.7,1884.0,337.3,1853.6
1,15,81.1,1907.2,295.3,1884.3
1,10,86.5,7123.5,436.8,7110.1
1,15,89.6,3911.0,24.5,3910.9
1,15,91.1,3804.8,-74.7,3804.0
1,15,105.7,9329.0,-2520.0,8982.2
1,15,108.6,8771.2,-2794.5,8314.2
1,15,110.1,8713.5,-2989.1,8184.8
1,15,113.3,2990.8,-1183.6,2746.6
1,15,114.8,2973.5,-1246.4,2699.7
1,15,116.3,2960.2,-1311.5,2653.9
1,15,117.8,2941.5,-1369.6,2603.2
1,15,124.8,7145.2,-4082.4,5864.2
1,15,134.6,1330.2,-933.4,947.8
1,15,136.0,1302.2,-937.5,903.9
1,15,160.5,123.5,-116.4,41.2
1,15,165.9,123.8,-120.0,30.1
1,15,175.4,2207.8,-2200.8,175.6
1,15,179.9,2155.5,-2155.5,3.5
1,15,242.8,357.8,-163.8,-318.0
1,15,244.0,347.5,-152.3,-312.3
1,15,246.1,337.8,-136.6,-308.9
1,15,247.1,328.5,-127.6,-302.7
1,15,249.4,320.2,-112.6,-299.8
1,15,250.4,312.2,-104.6,-294.2
1,15,252.7,305.2,-90.9,-291.4
1,15,254.1,298.8,-81.6,-287.4
1,15,255.6,293.0,-72.7,-283.8
1,15,256.6,288.0,-66.7,-280.2
1,15,259.1,282.8,-53.3,-277.7
1,15,260.6,277.8,-45.3,-274.0
1,15,262.2,274.0,-36.9,-271.5
1,15,263.5,270.2,-30.4,-268.5
1,15,265.0,266.2,-23.2,-265.2
1,15,267.0,262.8,-13.6,-262.4
1,15,268.2,259.8,-8.1,-259.6
1,15,269.6,257.5,-1.7,-257.5
1,15,271.2,255.2,5.3,-255.2
1,15,272.1,252.8,9.4,-252.6
1,15,273.6,250.8,15.9,-250.2
1,15,275.4,249.2,23.4,-248.1
1,15,276.7,247.5,28.8,-245.8
1,15,279.3,246.2,39.7,-243.0
1,15,280.1,245.0,42.8,-241.2
1,15,282.1,244.0,51.1,-238.6
1,15,284.6,243.0,61.2,-235.2
1,15,284.1,242.8,59.3,-235.4
1,15,285.9,244.8,67.2,-235.3
1,15,290.8,2120.5,751.8,-1982.7
1,15,292.3,2093.5,793.2,-1937.4
1,15,293.7,2077.5,836.2,-1901.8
1,10,295.2,2062.0,878.1,-1865.7
1,15,304.5,390.8,221.1,-322.1
1,15,305.8,390.5,228.1,-316.9
1,15,314.8,1409.0,993.0,-999.6
1,15,316.2,1446.8,1044.5,-1001.0
1,15,321.9,2038.2,1603.1,-1258.8
1,14,323.4,2046.0,1642.0,-1220.6
1,13,324.9,2052.2,1678.5,-1180.8
1,15,326.4,2061.8,1716.5,-1142.2
1,15,327.8,2085.8,1765.2,-1111.1
1,15,329.3,2107.2,1811.9,-1075.9
1,15,330.8,2125.5,1854.5,-1038.6
1,15,335.8,540.0,492.4,-221.8
1,15,337.2,531.8,490.2,-206.0
1,15,340.4,491.5,462.9,-165.2
1,15,341.7,501.5,476.2,-157.3
1,15,343.4,515.2,493.7,-147.6
1,15,344.6,530.5,511.5,-140.7
2,15,351.3,2717.0,2686.1,-408.9
2,15,352.9,2781.5,2759.9,-345.8
2,15,354.3,2849.5,2835.4,-283.2
2,15,355.8,2931.2,2923.2,-216.4
2,15,357.2,3018.2,3014.8,-144.8
2,15,358.7,3112.5,3111.7,-69.6
2,15,0.2,3205.0,3205.0,10.5
2,15,3.1,3416.0,3410.9,186.2
2,15,17.7,5260.5,5010.5,1602.4
2,15,19.2,5265.5,4972.0,1733.3
2,15,20.7,5213.8,4877.1,1843.2
2,15,22.2,5141.8,4761.5,1940.4
2,15,23.7,5091.2,4663.4,2042.9
2,15,25.1,5072.5,4592.6,2153.8
2,15,26.6,5044.0,4509.1,2260.5
2,15,68.0,4946.0,1850.3,4586.9
2,15,69.5,5038.8,1765.9,4719.2
2,15,71.0,5123.8,1672.1,4843.2
2,15,72.4,5235.8,1579.9,4991.7
2,15,73.9,5355.5,1486.0,5145.2
2,15,77.3,1862.0,408.0,1816.8
2,15,78.8,1869.8,362.8,1834.2
2,15,80.3,1898.8,321.0,1871.4
2,15,81.7,1940.2,279.5,1920.0
2,15,85.7,7031.8,530.7,7011.7
2,15,90.3,3867.8,-19.0,3867.7
2,15,91.8,3778.2,-116.4,3776.5
2,15,100.7,3022.2,-562.1,2969.5
2,15,106.2,9088.2,-2543.2,8725.2
2,15,107.7,8957.8,-2728.6,8532.1
2,15,109.2,8844.2,-2909.0,8352.1
2,15,110.7,8730.0,-3084.1,8167.1
2,15,113.9,2983.0,-1210.3,2726.4
2,15,115.4,2962.2,-1272.4,2675.1
2,15,116.9,2940.8,-1331.5,2622.0
2,15,122.5,8673.0,-4658.0,7316.0
2,15,125.5,7079.5,-4107.9,5765.8
2,15,129.9,7214.2,-4626.7,5535.3
2,15,136.7,1305.2,-950.0,895.1
2,15,179.0,2236.8,-2236.4,39.0
2,15,180.5,2186.5,-2186.4,-19.7
2,15,244.8,342.8,-145.9,-310.2
2,15,246.4,334.2,-134.0,-306.2
2,15,248.3,325.0,-120.1,-302.0
2,15,249.8,316.8,-109.2,-297.3
2,15,250.8,310.0,-101.8,-292.8
2,15,252.5,303.5,-91.2,-289.5
2,15,254.5,296.5,-79.2,-285.7
2,15,256.2,290.5,-69.1,-282.2
2,15,257.8,286.0,-60.3,-279.6
2,15,258.8,280.8,-54.8,-275.4
2,15,260.5,276.0,-45.3,-272.3
2,15,262.1,272.2,-37.4,-269.7
2,15,263.8,268.8,-29.3,-267.2
2,15,266.5,265.0,-16.3,-264.5
2,15,267.1,261.5,-13.0,-261.2
2,15,268.5,259.0,-7.0,-258.9
2,15,270.3,256.5,1.3,-256.5
2,15,272.7,253.8,11.8,-253.5
2,15,274.0,251.8,17.4,-251.2
2,15,275.3,250.2,23.2,-249.2
2,15,276.7,249.0,29.1,-247.3
2,15,277.9,247.2,33.8,-244.9
2,15,278.8,245.5,37.7,-242.6
2,15,280.4,244.5,44.3,-240.5
2,15,282.4,244.0,52.5,-238.3
2,15,283.7,243.0,57.6,-236.1
2,15,286.5,242.8,69.1,-232.7
2,15,291.2,2112.8,764.7,-1969.5
2,15,292.7,2088.2,806.0,-1926.4
2,10,294.2,2069.8,847.0,-1888.5
2,14,295.6,2059.5,891.2,-1856.7
2,15,304.7,389.8,221.9,-320.4
2,15,306.0,391.0,229.7,-316.5
2,15,313.7,1378.8,952.3,-997.0
2,15,315.2,1419.8,1006.6,-1001.2
2,15,316.6,1463.5,1063.2,-1005.7
2,14,322.2,2046.2,1617.6,-1253.2
2,10,323.8,2054.8,1657.7,-1214.1
2,15,325.2,2066.2,1697.4,-1178.2
2,15,326.7,2076.2,1735.4,-1139.8
2,15,328.2,2088.0,1774.6,-1100.2
2,15,329.7,2105.5,1817.9,-1062.2
2,15,331.1,2125.5,1861.5,-1025.9
2,15,336.0,537.8,491.4,-218.5
2,15,337.8,526.8,487.9,-198.7
2,15,341.0,493.8,466.7,-161.1
2,15,342.2,504.5,480.3,-154.5
2,15,343.5,518.0,496.8,-146.7
3,15,351.7,2730.0,2701.4,-393.9
3,15,353.2,2799.2,2779.5,-332.0
3,15,354.6,2877.0,2864.3,-269.5
3,15,356.1,2957.8,2950.9,-201.5
3,15,357.6,3041.2,3038.5,-129.3
3,15,359.0,3128.5,3128.1,-52.0
3,15,0.5,3221.0,3220.9,29.0
3,15,3.4,3433.8,3427.7,204.0
3,15,18.1,5285.2,5024.8,1638.7
3,15,19.5,5227.5,4926.2,1749.0
3,15,21.0,5177.5,4833.1,1856.8
3,15,22.5,5140.2,4749.0,1967.1
3,15,24.0,5092.2,4653.1,2068.7
3,15,25.5,5040.0,4550.2,2167.3
3,15,26.9,5018.2,4473.8,2273.4
3,15,65.4,5820.0,2419.3,5293.3
3,15,68.4,4981.8,1830.9,4633.1
3,15,69.9,5068.5,1741.3,4760.0
3,15,71.4,5163.8,1647.8,4893.8
